Timestamp,Steps,PAM Score,tabel
1970-02-01 10:05:00,12,2.1875,1
1970-02-01 10:06:00,0,0.0625,0
1970-02-01 10:07:00,0,0.0,0
1970-02-01 10:08:00,0,0.0,0
1970-02-01 10:09:00,0,0.0,0
1970-02-01 10:10:00,0,0.0,0
1970-02-01 10:11:00,0,0.0625,0
1970-02-01 10:12:00,0,0.0,0
1970-02-01 10:13:00,0,0.0,0
1970-02-01 10:14:00,0,0.0,0
1970-02-01 10:15:00,0,0.0,0
1970-02-01 10:29:00,0,0.0,0
1970-02-01 10:30:00,0,0.0,0
1970-02-01 10:31:00,0,0.0,0
1970-02-01 10:32:00,1,0.0,0
1970-02-01 10:33:00,3,0.125,0
1970-02-01 10:34:00,0,0.0,0
1970-02-01 10:35:00,0,0.0,0
1970-02-01 10:36:00,0,0.0,0
1970-02-01 10:52:00,0,0.0,0
1970-02-01 10:53:00,22,0.9375,0
1970-02-01 10:54:00,1,0.125,0
1970-02-01 10:55:00,12,1.9375,1
1970-02-01 10:56:00,7,1.5,0
1970-02-01 10:57:00,5,0.8125,0
1970-02-01 10:58:00,7,1.875,1
1970-02-01 10:59:00,7,1.4375,0
1970-02-01 11:00:00,2,1.0625,0
1970-02-01 11:01:00,3,0.625,0
1970-02-01 11:02:00,0,0.0625,0
1970-02-01 11:03:00,0,0.0,0
1970-02-01 11:04:00,0,0.0,0
1970-02-01 11:05:00,0,0.0,0
1970-02-01 11:06:00,4,0.4375,0
1970-02-01 11:07:00,12,2.0625,1
1970-02-01 11:08:00,16,2.875,1
1970-02-01 11:09:00,4,1.25,0
1970-02-01 11:10:00,10,1.5,0
1970-02-01 11:11:00,6,0.625,0
1970-02-01 11:12:00,0,0.1875,0
1970-02-01 11:13:00,6,0.75,0
1970-02-01 11:14:00,5,0.875,0
1970-02-01 11:15:00,0,0.0,0
1970-02-01 11:16:00,0,0.0,0
1970-02-01 11:17:00,0,0.0,0
1970-02-01 11:18:00,0,0.0,0
1970-02-01 12:01:00,0,0.0,0
1970-02-01 12:02:00,0,0.0625,0
1970-02-01 12:03:00,12,2.0,1
1970-02-01 12:04:00,3,0.8125,0
1970-02-01 12:05:00,7,1.5,0
1970-02-01 12:06:00,8,2.0,1
1970-02-01 12:07:00,1,0.875,0
1970-02-01 12:08:00,7,0.875,0
1970-02-01 12:09:00,2,0.4375,0
1970-02-01 12:10:00,5,0.6875,0
1970-02-01 12:11:00,0,0.0,0
1970-02-01 12:12:00,0,0.0,0
1970-02-01 12:13:00,0,0.0,0
1970-02-01 12:14:00,0,0.0,0
1970-02-01 12:15:00,0,0.0625,0
1970-02-01 12:16:00,10,1.0,0
1970-02-01 12:17:00,11,1.5,0
1970-02-01 12:18:00,7,1.25,0
1970-02-01 12:19:00,14,1.9375,1
1970-02-01 12:20:00,9,1.25,0
1970-02-01 12:21:00,0,0.625,0
1970-02-01 12:22:00,10,1.625,0
1970-02-01 12:23:00,8,1.6875,0
1970-02-01 12:24:00,6,1.625,0
1970-02-01 12:25:00,0,0.0625,0
1970-02-01 12:26:00,0,0.0,0
1970-02-01 12:27:00,9,1.1875,0
1970-02-01 12:28:00,9,1.375,0
1970-02-01 12:29:00,0,0.0625,0
1970-02-01 12:30:00,6,1.125,0
1970-02-01 12:31:00,0,0.125,0
1970-02-01 12:32:00,11,1.9375,1
1970-02-01 12:33:00,1,0.9375,0
1970-02-01 12:34:00,6,0.9375,0
1970-02-01 12:35:00,10,1.375,0
1970-02-01 12:36:00,9,1.6875,0
1970-02-01 12:37:00,11,1.6875,1
1970-02-01 12:38:00,0,0.5,0
1970-02-01 12:39:00,9,1.1875,0
1970-02-01 12:40:00,9,1.3125,0
1970-02-01 12:41:00,3,1.0,0
1970-02-01 12:42:00,7,0.4375,0
1970-02-01 12:43:00,14,1.875,1
1970-02-01 12:44:00,30,3.8125,1
1970-02-01 12:45:00,3,1.125,0
1970-02-01 12:46:00,5,1.3125,0
1970-02-01 12:47:00,0,0.0,0
1970-02-01 12:48:00,3,1.0625,0
1970-02-01 12:49:00,0,0.0,0
1970-02-01 12:50:00,0,0.0,0
1970-02-01 12:51:00,0,0.0,0
1970-02-01 12:52:00,6,0.9375,0
1970-02-01 12:53:00,0,0.125,0
1970-02-01 12:54:00,0,0.0,0
1970-02-01 12:55:00,0,0.0,0
1970-02-01 12:56:00,0,0.0,0
1970-02-01 13:05:00,0,0.0,0
1970-02-01 13:06:00,0,0.0625,0
1970-02-01 13:07:00,6,0.625,0
1970-02-01 13:08:00,4,0.625,0
1970-02-01 13:09:00,0,0.0,0
1970-02-01 13:10:00,0,0.0625,0
1970-02-01 13:11:00,3,0.4375,0
1970-02-01 13:12:00,0,0.75,0
1970-02-01 13:13:00,0,0.8125,0
1970-02-01 13:14:00,0,0.0625,0
1970-02-01 13:15:00,3,0.3125,0
1970-02-01 13:16:00,5,1.1875,0
1970-02-01 13:17:00,8,1.125,0
1970-02-01 13:18:00,6,0.9375,0
1970-02-01 13:19:00,8,1.0,0
1970-02-01 13:20:00,0,0.0625,0
1970-02-01 13:21:00,0,0.0625,0
1970-02-01 13:22:00,0,0.0,0
1970-02-01 13:23:00,2,0.1875,0
1970-02-01 13:24:00,0,0.0625,0
1970-02-01 13:25:00,6,0.9375,0
1970-02-01 13:26:00,7,1.9375,1
1970-02-01 13:27:00,0,0.125,0
1970-02-01 13:28:00,4,0.4375,0
1970-02-01 13:29:00,1,0.6875,0
1970-02-01 13:30:00,5,0.8125,0
1970-02-01 13:31:00,0,0.0,0
1970-02-01 13:32:00,0,0.0,0
1970-02-01 13:33:00,0,0.0,0
1970-02-01 13:34:00,1,0.125,0
1970-02-01 13:35:00,1,0.4375,0
1970-02-01 13:36:00,0,0.0,0
1970-02-01 13:37:00,0,0.125,0
1970-02-01 13:38:00,4,0.75,0
1970-02-01 13:39:00,6,1.0625,0
1970-02-01 13:40:00,2,0.3125,0
1970-02-01 13:41:00,0,0.0,0
1970-02-01 13:42:00,8,1.375,0
1970-02-01 13:43:00,0,0.0,0
1970-02-01 06:37:00,0,0.0,0
1970-02-01 06:45:00,0,0.0,0
1970-02-01 06:46:00,8,0.6875,0
1970-02-01 06:37:00,0,0.0,0
1970-02-01 06:43:00,0,0.0625,0
1970-02-01 06:44:00,10,0.75,0
1970-02-01 06:45:00,0,0.3125,0
1970-02-01 06:46:00,10,1.3125,0
1970-02-01 06:47:00,2,0.125,0
1970-02-01 06:48:00,5,1.625,0
1970-02-01 06:49:00,0,0.0,0
1970-02-01 06:50:00,0,0.0625,0
1970-02-01 06:51:00,0,0.0,0
1970-02-01 06:52:00,0,0.0,0
1970-02-01 06:53:00,0,0.0,0
1970-02-01 06:54:00,17,1.75,1
1970-02-01 06:55:00,3,0.0625,0
1970-02-01 06:56:00,1,0.0625,0
1970-02-01 06:57:00,0,0.0,0
1970-02-01 06:58:00,0,0.0,0
1970-02-01 06:59:00,27,2.1875,1
1970-02-01 07:00:00,6,1.1875,0
1970-02-01 07:01:00,0,0.0,0
1970-02-01 07:02:00,7,0.375,0
1970-02-01 10:03:00,0,0.6875,0
1970-02-01 10:04:00,8,1.8125,1
1970-02-01 10:05:00,12,2.1875,1
1970-02-01 10:06:00,0,0.0625,0
1970-02-01 10:07:00,0,0.0,0
1970-02-01 10:08:00,0,0.0,0
1970-02-01 10:09:00,0,0.0,0
1970-02-01 10:10:00,0,0.0,0
1970-02-01 10:11:00,0,0.0625,0
1970-02-01 10:12:00,0,0.0,0
1970-02-01 10:13:00,0,0.0,0
1970-02-01 10:14:00,0,0.0,0
1970-02-01 10:15:00,0,0.0,0
1970-02-01 10:29:00,0,0.0,0
1970-02-01 10:30:00,0,0.0,0
1970-02-01 10:31:00,0,0.0,0
1970-02-01 10:32:00,1,0.0,0
1970-02-01 10:33:00,3,0.125,0
1970-02-01 10:34:00,0,0.0,0
1970-02-01 10:35:00,0,0.0,0
1970-02-01 10:36:00,0,0.0,0
1970-02-01 10:52:00,0,0.0,0
1970-02-01 10:53:00,22,0.9375,0
1970-02-01 10:54:00,1,0.125,0
1970-02-01 10:55:00,12,1.9375,1
1970-02-01 10:56:00,7,1.5,0
1970-02-01 10:57:00,5,0.8125,0
1970-02-01 10:58:00,7,1.875,1
1970-02-01 10:59:00,7,1.4375,0
1970-02-01 11:00:00,2,1.0625,0
1970-02-01 11:01:00,3,0.625,0
1970-02-01 11:02:00,0,0.0625,0
1970-02-01 11:03:00,0,0.0,0
1970-02-01 11:04:00,0,0.0,0
1970-02-01 11:05:00,0,0.0,0
1970-02-01 11:06:00,4,0.4375,0
1970-02-01 11:07:00,12,2.0625,1
1970-02-01 11:08:00,16,2.875,1
1970-02-01 11:09:00,4,1.25,0
1970-02-01 11:10:00,10,1.5,0
1970-02-01 11:11:00,6,0.625,0
1970-02-01 11:12:00,0,0.1875,0
1970-02-01 11:13:00,6,0.75,0
1970-02-01 11:14:00,5,0.875,0
1970-02-01 11:15:00,0,0.0,0
1970-02-01 11:16:00,0,0.0,0
1970-02-01 11:17:00,0,0.0,0
1970-02-01 11:18:00,0,0.0,0
1970-02-01 12:01:00,0,0.0,0
1970-02-01 12:02:00,0,0.0625,0
1970-02-01 12:03:00,12,2.0,1
1970-02-01 12:04:00,3,0.8125,0
1970-02-01 12:05:00,7,1.5,0
1970-02-01 12:06:00,8,2.0,1
1970-02-01 12:07:00,1,0.875,0
1970-02-01 12:08:00,7,0.875,0
1970-02-01 12:09:00,2,0.4375,0
1970-02-01 12:10:00,5,0.6875,0
1970-02-01 12:11:00,0,0.0,0
1970-02-01 12:12:00,0,0.0,0
1970-02-01 12:13:00,0,0.0,0
1970-02-01 12:14:00,0,0.0,0
1970-02-01 12:15:00,0,0.0625,0
1970-02-01 12:16:00,10,1.0,0
1970-02-01 12:17:00,11,1.5,0
1970-02-01 12:18:00,7,1.25,0
1970-02-01 12:19:00,14,1.9375,1
1970-02-01 12:20:00,9,1.25,0
1970-02-01 12:21:00,0,0.625,0
1970-02-01 12:22:00,10,1.625,0
1970-02-01 12:23:00,8,1.6875,0
1970-02-01 12:24:00,6,1.625,0
1970-02-01 12:25:00,0,0.0625,0
1970-02-01 12:26:00,0,0.0,0
1970-02-01 12:27:00,9,1.1875,0
1970-02-01 12:28:00,9,1.375,0
1970-02-01 12:29:00,0,0.0625,0
1970-02-01 12:30:00,6,1.125,0
1970-02-01 12:31:00,0,0.125,0
1970-02-01 12:32:00,11,1.9375,1
1970-02-01 12:33:00,1,0.9375,0
1970-02-01 12:34:00,6,0.9375,0
1970-02-01 12:35:00,10,1.375,0
1970-02-01 12:36:00,9,1.6875,0
1970-02-01 12:37:00,11,1.6875,1
1970-02-01 12:38:00,0,0.5,0
1970-02-01 12:39:00,9,1.1875,0
1970-02-01 12:40:00,9,1.3125,0
1970-02-01 12:41:00,3,1.0,0
1970-02-01 12:42:00,7,0.4375,0
1970-02-01 12:43:00,14,1.875,1
1970-02-01 12:44:00,30,3.8125,1
1970-02-01 12:45:00,3,1.125,0
1970-02-01 12:46:00,5,1.3125,0
1970-02-01 12:47:00,0,0.0,0
1970-02-01 12:48:00,3,1.0625,0
1970-02-01 12:49:00,0,0.0,0
1970-02-01 12:50:00,0,0.0,0
1970-02-01 12:51:00,0,0.0,0
1970-02-01 12:52:00,6,0.9375,0
1970-02-01 12:53:00,0,0.125,0
1970-02-01 12:54:00,0,0.0,0
1970-02-01 12:55:00,0,0.0,0
1970-02-01 12:56:00,0,0.0,0
1970-02-01 13:05:00,0,0.0,0
1970-02-01 13:06:00,0,0.0625,0
1970-02-01 13:07:00,6,0.625,0
1970-02-01 13:08:00,4,0.625,0
1970-02-01 13:09:00,0,0.0,0
1970-02-01 13:10:00,0,0.0625,0
1970-02-01 13:11:00,3,0.4375,0
1970-02-01 13:12:00,0,0.75,0
1970-02-01 13:13:00,0,0.8125,0
1970-02-01 13:14:00,0,0.0625,0
1970-02-01 13:15:00,3,0.3125,0
1970-02-01 13:16:00,5,1.1875,0
1970-02-01 13:17:00,8,1.125,0
1970-02-01 13:18:00,6,0.9375,0
1970-02-01 13:19:00,8,1.0,0
1970-02-01 13:20:00,0,0.0625,0
1970-02-01 13:21:00,0,0.0625,0
1970-02-01 13:22:00,0,0.0,0
1970-02-01 13:23:00,2,0.1875,0
1970-02-01 13:24:00,0,0.0625,0
1970-02-01 13:25:00,6,0.9375,0
1970-02-01 13:26:00,7,1.9375,1
1970-02-01 13:27:00,0,0.125,0
1970-02-01 13:28:00,4,0.4375,0
1970-02-01 13:29:00,1,0.6875,0
1970-02-01 13:30:00,5,0.8125,0
1970-02-01 13:31:00,0,0.0,0
1970-02-01 13:32:00,0,0.0,0
1970-02-01 13:33:00,0,0.0,0
1970-02-01 13:34:00,1,0.125,0
1970-02-01 13:35:00,1,0.4375,0
1970-02-01 13:36:00,0,0.0,0
1970-02-01 13:37:00,0,0.125,0
1970-02-01 13:38:00,4,0.75,0
1970-02-01 13:39:00,6,1.0625,0
1970-02-01 13:40:00,2,0.3125,0
1970-02-01 13:41:00,0,0.0,0
1970-02-01 13:42:00,6,0.5,0
